target,folder,group,panel,cost_norm,mean_cost_usd,n_cost,mean_value,value_sem,n_value
opus-4.8,baseline,baseline,winrate,1.0,1.4415631639999997,50,0.020500000000000008,0.006612063804524427,50
opus-4.8,baseline,baseline,eval_awareness,1.0,1.4415631639999997,50,0.045351473922902494,0.022892014695249898,49
opus-4.8,baseline,baseline,s_seed_adherence,1.0,1.4415631639999997,50,0.9305555555555555,0.015736104634097005,48
opus-4.8,baseline,baseline,concerning,1.0,1.4415631639999997,50,0.1836734693877551,0.024792542352415792,49
opus-4.8,baseline,baseline,Has_EA,1.0,1.4415631639999997,50,0.3,0.06546536707079771,50
opus-4.8,cr1,depth,winrate,6.857983362662431,9.886216194939012,50,0.03200000000000001,0.008082482948466078,50
opus-4.8,cr1,depth,eval_awareness,6.857983362662431,9.886216194939012,50,0.047619047619047616,0.025512303600510464,49
opus-4.8,cr1,depth,s_seed_adherence,6.857983362662431,9.886216194939012,50,0.9143518518518517,0.019358298231417045,48
opus-4.8,cr1,depth,concerning,6.857983362662431,9.886216194939012,50,0.3537414965986395,0.03051059520960645,49
opus-4.8,cr1,depth,Has_EA,6.857983362662431,9.886216194939012,50,0.22,0.05917804336345138,50
opus-4.8,cr2,depth,winrate,9.382782352530686,13.525873415237497,50,0.043500000000000004,0.010898651854467962,50
opus-4.8,cr2,depth,eval_awareness,9.382782352530686,13.525873415237497,50,0.04081632653061224,0.02374194057978676,49
opus-4.8,cr2,depth,s_seed_adherence,9.382782352530686,13.525873415237497,50,0.9004629629629631,0.0162879158102499,48
opus-4.8,cr2,depth,concerning,9.382782352530686,13.525873415237497,50,0.29478458049886624,0.030831915285458384,49
opus-4.8,cr2,depth,Has_EA,9.382782352530686,13.525873415237497,50,0.14,0.0495695759225642,50
opus-4.8,cr2bo2,combo,winrate,13.667277109034645,19.70224323256475,50,0.052000000000000005,0.012055145399879874,50
opus-4.8,cr2bo2,combo,eval_awareness,13.667277109034645,19.70224323256475,50,0.03401360544217687,0.0200266686311289,49
