target,folder,group,panel,cost_norm,mean_cost_usd,n_cost,mean_value,value_sem,n_value
opus-4.8,baseline,baseline,winrate,1.0,1.4415631639999997,50,0.020500000000000008,0.006612063804524427,50
opus-4.8,baseline,baseline,eval_awareness,1.0,1.4415631639999997,50,0.08222222222222221,0.02154524381073924,50
opus-4.8,baseline,baseline,s_seed_adherence,1.0,1.4415631639999997,50,0.8822222222222222,0.012155041091477234,50
opus-4.8,baseline,baseline,concerning,1.0,1.4415631639999997,50,0.12777777777777777,0.016284352800542214,50
opus-4.8,baseline,baseline,Has_EA,1.0,1.4415631639999997,50,0.3,0.06546536707079771,50
opus-4.8,cr1,depth,winrate,6.857983362662431,9.886216194939012,50,0.03200000000000001,0.008082482948466078,50
opus-4.8,cr1,depth,eval_awareness,6.857983362662431,9.886216194939012,50,0.06333333333333334,0.020998626213327976,50
opus-4.8,cr1,depth,s_seed_adherence,6.857983362662431,9.886216194939012,50,0.8833333333333333,0.013677530110804829,50
opus-4.8,cr1,depth,concerning,6.857983362662431,9.886216194939012,50,0.24222222222222226,0.02209487319530834,50
opus-4.8,cr1,depth,Has_EA,6.857983362662431,9.886216194939012,50,0.22,0.05917804336345138,50
opus-4.8,cr2,depth,winrate,9.382782352530686,13.525873415237497,50,0.043500000000000004,0.010898651854467962,50
opus-4.8,cr2,depth,eval_awareness,9.382782352530686,13.525873415237497,50,0.04666666666666667,0.019137354759494008,50
opus-4.8,cr2,depth,s_seed_adherence,9.382782352530686,13.525873415237497,50,0.8688888888888888,0.011746031746031742,50
opus-4.8,cr2,depth,concerning,9.382782352530686,13.525873415237497,50,0.20000000000000004,0.021177244546232276,50
opus-4.8,cr2,depth,Has_EA,9.382782352530686,13.525873415237497,50,0.14,0.0495695759225642,50
opus-4.8,cr2bo2,combo,winrate,13.667277109034645,19.70224323256475,50,0.052000000000000005,0.012055145399879874,50
opus-4.8,cr2bo2,combo,eval_awareness,13.667277109034645,19.70224323256475,50,0.041111111111111105,0.017518661539672412,50
opus-4.8,cr2bo2,combo,s_seed_adherence,13.667277109034645,19.70224323256475,50,0.8577777777777779,0.015645995594097274,50
opus-4.8,cr2bo2,combo,concerning,13.667277109034645,19.70224323256475,50,0.22333333333333336,0.023940907346957755,50
opus-4.8,cr2bo2,combo,Has_EA,13.667277109034645,19.70224323256475,50,0.2,0.05714285714285715,50
opus-4.8,cr2bo4,combo,winrate,23.464320040175,33.825299438223276,50,0.064,0.013649400076522761,50
opus-4.8,cr2bo4,combo,eval_awareness,23.464320040175,33.825299438223276,50,0.03,0.012316683006073869,50
opus-4.8,cr2bo4,combo,s_seed_adherence,23.464320040175,33.825299438223276,50,0.8155555555555555,0.020904225565910255,50
opus-4.8,cr2bo4,combo,concerning,23.464320040175,33.825299438223276,50,0.19888888888888887,0.020270904000680066,50
opus-4.8,cr2bo4,combo,Has_EA,23.464320040175,33.825299438223276,50,0.14,0.0495695759225642,50
gpt-5.5,baseline,baseline,winrate,1.0,1.529767316,50,0.0072234156820623,0.002672690210814066,49
gpt-5.5,baseline,baseline,eval_awareness,1.0,1.529767316,50,0.017006802721088437,0.007459909653496554,49
gpt-5.5,baseline,baseline,s_seed_adherence,1.0,1.529767316,50,0.8798185941043083,0.012791792362869465,49
gpt-5.5,baseline,baseline,concerning,1.0,1.529767316,50,0.24716553287981857,0.03166578915030608,49
gpt-5.5,baseline,baseline,Has_EA,1.0,1.529767316,50,0.08,0.03875617133214439,50
gpt-5.5,cr1,depth,winrate,5.035152785816334,7.702612162808176,50,0.02467776584317938,0.007070198587642266,49
gpt-5.5,cr1,depth,eval_awareness,5.035152785816334,7.702612162808176,50,0.006802721088435375,0.0047598797119463325,49
gpt-5.5,cr1,depth,s_seed_adherence,5.035152785816334,7.702612162808176,50,0.8514739229024944,0.017097891613240063,49
gpt-5.5,cr1,depth,concerning,5.035152785816334,7.702612162808176,50,0.20294784580498867,0.025021565214250356,49
gpt-5.5,cr1,depth,Has_EA,5.035152785816334,7.702612162808176,50,0.04,0.027994168488950606,50
gpt-5.5,cr2,depth,winrate,7.152896552815101,10.94226736122561,50,0.03990332975295381,0.010686176175244906,49
gpt-5.5,cr2,depth,eval_awareness,7.152896552815101,10.94226736122561,50,0.003401360544217687,0.0019224291335389078,49
gpt-5.5,cr2,depth,s_seed_adherence,7.152896552815101,10.94226736122561,50,0.7970521541950114,0.022067620541297014,49
gpt-5.5,cr2,depth,concerning,7.152896552815101,10.94226736122561,50,0.17346938775510204,0.019948957307011274,49
gpt-5.5,cr2,depth,Has_EA,7.152896552815101,10.94226736122561,50,0.08,0.03875617133214439,50
gpt-5.5,cr2bo2,combo,winrate,10.951588428589618,16.7533820363402,50,0.047690655209452204,0.009769730483934211,49
gpt-5.5,cr2bo2,combo,eval_awareness,10.951588428589618,16.7533820363402,50,0.0022675736961451248,0.0015866265706487776,49
gpt-5.5,cr2bo2,combo,s_seed_adherence,10.951588428589618,16.7533820363402,50,0.7653061224489796,0.02246333820867893,49
gpt-5.5,cr2bo2,combo,concerning,10.951588428589618,16.7533820363402,50,0.16780045351473924,0.02305289145323197,49
gpt-5.5,cr2bo2,combo,Has_EA,10.951588428589618,16.7533820363402,50,0.1,0.04285714285714286,50
gpt-5.5,cr2bo4,combo,winrate,18.334636036154606,28.04772695886511,50,0.056310418904403865,0.011934978856643201,49
gpt-5.5,cr2bo4,combo,eval_awareness,18.334636036154606,28.04772695886511,50,0.0,0.0,49
gpt-5.5,cr2bo4,combo,s_seed_adherence,18.334636036154606,28.04772695886511,50,0.7324263038548752,0.027285580268695486,49
gpt-5.5,cr2bo4,combo,concerning,18.334636036154606,28.04772695886511,50,0.1383219954648526,0.021499640194200333,49
gpt-5.5,cr2bo4,combo,Has_EA,18.334636036154606,28.04772695886511,50,0.12,0.04642307659791976,50
gemini-3.5-flash,baseline,baseline,winrate,1.0,0.8325388152,50,0.07800000000000001,0.020211130495802733,50
gemini-3.5-flash,baseline,baseline,eval_awareness,1.0,0.8325388152,50,0.035555555555555556,0.013539598801356268,50
gemini-3.5-flash,baseline,baseline,s_seed_adherence,1.0,0.8325388152,50,0.851111111111111,0.022416385325599655,50
gemini-3.5-flash,baseline,baseline,concerning,1.0,0.8325388152,50,0.3866666666666667,0.03452006912779222,50
gemini-3.5-flash,baseline,baseline,Has_EA,1.0,0.8325388152,50,0.1,0.04285714285714286,50
gemini-3.5-flash,cr1,depth,winrate,3.4091100332221416,2.838216427945194,50,0.08350000000000002,0.021566342825271576,50
gemini-3.5-flash,cr1,depth,eval_awareness,3.4091100332221416,2.838216427945194,50,0.021111111111111112,0.01400877959601461,50
gemini-3.5-flash,cr1,depth,s_seed_adherence,3.4091100332221416,2.838216427945194,50,0.832222222222222,0.02446144533518241,50
gemini-3.5-flash,cr1,depth,concerning,3.4091100332221416,2.838216427945194,50,0.4022222222222222,0.0341753072421373,50
gemini-3.5-flash,cr1,depth,Has_EA,3.4091100332221416,2.838216427945194,50,0.14,0.0495695759225642,50
gemini-3.5-flash,cr2,depth,winrate,8.097907110073821,6.741821991020515,50,0.10102631578947369,0.028551791084858905,50
gemini-3.5-flash,cr2,depth,eval_awareness,8.097907110073821,6.741821991020515,50,0.024444444444444446,0.01429981667245106,50
gemini-3.5-flash,cr2,depth,s_seed_adherence,8.097907110073821,6.741821991020515,50,0.8655555555555554,0.018311847507373004,50
gemini-3.5-flash,cr2,depth,concerning,8.097907110073821,6.741821991020515,50,0.41,0.035736853539899464,50
gemini-3.5-flash,cr2,depth,Has_EA,8.097907110073821,6.741821991020515,50,0.12,0.04642307659791978,50
gemini-3.5-flash,cr2bo2,combo,winrate,12.255357638694164,10.203060928370709,50,0.11714327485380117,0.024846758692076174,50
gemini-3.5-flash,cr2bo2,combo,eval_awareness,12.255357638694164,10.203060928370709,50,0.0011111111111111111,0.0011111111111111107,50
gemini-3.5-flash,cr2bo2,combo,s_seed_adherence,12.255357638694164,10.203060928370709,50,0.8255555555555556,0.024794951493227895,50
gemini-3.5-flash,cr2bo2,combo,concerning,12.255357638694164,10.203060928370709,50,0.46555555555555556,0.03534696466901611,50
gemini-3.5-flash,cr2bo2,combo,Has_EA,12.255357638694164,10.203060928370709,50,0.08,0.03875617133214439,50
gemini-3.5-flash,cr2bo4,combo,winrate,28.744394818978375,23.930824406233274,50,0.13838235294117648,0.029295033963115277,50
gemini-3.5-flash,cr2bo4,combo,eval_awareness,28.744394818978375,23.930824406233274,50,0.011111111111111112,0.00549857399228215,50
gemini-3.5-flash,cr2bo4,combo,s_seed_adherence,28.744394818978375,23.930824406233274,50,0.8222222222222222,0.021589635728151493,50
gemini-3.5-flash,cr2bo4,combo,concerning,28.744394818978375,23.930824406233274,50,0.42666666666666664,0.035615029623699626,50
